front,back
delegate,ủy thác / giao phó
deliver,giao hàng / thực hiện
demand,nhu cầu / yêu cầu
demonstrate,trình bày / chứng minh
department,phòng ban / bộ phận
deposit,tiền đặt cọc / ký gửi
describe,mô tả
designate,chỉ định / bổ nhiệm
determine,xác định / quyết định
develop,phát triển
direct,chỉ đạo / trực tiếp
discount,giảm giá / chiết khấu
discuss,thảo luận
distribute,phân phối
division,bộ phận / phòng ban
document,tài liệu / văn bản
draft,bản thảo / soạn thảo
due,đến hạn / phải nộp
duplicate,bản sao / nhân đôi
efficient,hiệu quả / năng suất
eliminate,loại bỏ / xóa bỏ
employee,nhân viên
encourage,khuyến khích
enforce,thực thi / áp dụng
ensure,đảm bảo
establish,thành lập / thiết lập
evaluate,đánh giá
exceed,vượt quá
execute,thực hiện / triển khai
expand,mở rộng
