question,option1,option2,option3,option4,correct
The company plans to _____ its operations overseas next year.,expand,expire,export,extend,1
The contract will _____ at the end of this month.,expire,expand,export,extend,1
The firm decided to _____ its products to new markets.,export,expand,expire,extend,1
The deadline was _____ by two weeks due to unforeseen delays.,extended,exported,expired,expanded,1
The new policy will take _____ from next Monday.,effect,effort,efficiency,expense,1
The team put in great _____ to complete the project on time.,effort,effect,efficiency,expense,1
The new machine improved the _____ of the production line.,efficiency,effort,effect,expense,1
Travel _____ must be submitted within 30 days.,expenses,efforts,effects,efficiencies,1
The company will _____ a new product line next quarter.,launch,limit,locate,manage,1
There is a _____ on the number of items per order.,limit,launch,locate,manage,1
The new office will be _____ in the city center.,located,launched,limited,managed,1
She was promoted to _____ the entire sales division.,manage,launch,limit,locate,1
The _____ of the new branch will be announced soon.,location,launch,limit,management,1
The project requires careful _____ of all resources.,management,location,launch,limit,1
The team leader will _____ the weekly progress report.,prepare,present,process,produce,1
She was invited to _____ her findings at the conference.,present,prepare,process,produce,1
All applications will be _____ within five business days.,processed,presented,prepared,produced,1
The factory can _____ up to 500 units per day.,produce,prepare,present,process,1
The _____ of the new software was delayed by a month.,release,report,request,require,1
Please submit your _____ by the end of the week.,report,release,request,require,1
She sent a _____ for additional funding.,request,report,release,require,1
All employees are _____ to attend the safety training.,required,reported,released,requested,1
The company will _____ its annual results next Friday.,release,report,request,require,1
The new system will _____ manual paperwork.,replace,report,request,require,1
The manager asked her to _____ the client's concerns.,resolve,replace,report,request,1
The issue was _____ after a brief discussion.,resolved,replaced,reported,requested,1
The team needs to _____ its strategy for the next quarter.,revise,resolve,replace,report,1
The _____ of the new product exceeded expectations.,revenue,resolve,replace,report,1
The company saw a significant increase in _____ last year.,revenue,resolve,replace,report,1
Please _____ the document before submitting it.,review,revise,resolve,replace,1
